DIST,LAN_1,lan1_MembES,lan1_Wiki,LAN_2,lan2_MembES,lan2_Wiki
0.0,Ltv,True,lv,Lit,True,lt
0.0,Tat,False,tt,Trk,False,tr
0.0,Ltv,True,lv,Cz,True,cs
0.0,Ltv,True,lv,Rus,True,ru
0.0,Ltv,True,lv,Rom,True,ro
0.0,Ltv,True,lv,Grk,True,el
0.0,Cz,True,cs,Ukr,True,uk
0.0,Cz,True,cs,Sln,True,sl
0.0,Cz,True,cs,Pol,True,pl
0.0,Cz,True,cs,Blg,True,bg
0.0,Cz,True,cs,SCr,True,sr
0.0,Cz,True,cs,Lit,True,lt
0.0,Cz,True,cs,Ltv,True,lv
0.0,Cz,True,cs,Rus,True,ru
0.0,Cz,True,cs,Rom,True,ro
0.0,Cz,True,cs,Grk,True,el
0.0,Ltv,True,lv,SCr,True,sr
0.0,Ltv,True,lv,Blg,True,bg
0.0,Ltv,True,lv,Pol,True,pl
0.0,Ltv,True,lv,Sln,True,sl
1.4142135623730951,Dut,True,nl,Nor,True,no
1.4142135623730951,Sln,True,sl,Nor,True,no
1.4142135623730951,Dut,True,nl,Swd,True,sv
1.4142135623730951,Sln,True,sl,Swd,True,sv
1.4142135623730951,SCr,True,sr,Brt,False,br
1.4142135623730951,SCr,True,sr,Bsq,False,eu
1.4142135623730951,Dut,True,nl,Sln,True,sl
1.4142135623730951,Dut,True,nl,Lit,True,lt
1.4142135623730951,Dut,True,nl,Cz,True,cs
1.4142135623730951,Dut,True,nl,Ltv,True,lv
1.4142135623730951,Alb,True,sq,Hng,True,hu
1.4142135623730951,Dut,True,nl,Rus,True,ru
1.4142135623730951,Rom,True,ro,Swd,True,sv
1.4142135623730951,Rom,True,ro,Dut,True,nl
1.4142135623730951,Sln,True,sl,Eng,True,en
1.4142135623730951,Rom,True,ro,Eng,True,en
1.4142135623730951,Pol,True,pl,Eng,True,en
1.4142135623730951,Dut,True,nl,Pol,True,pl
1.4142135623730951,Pol,True,pl,Dut,True,nl
1.4142135623730951,Rom,True,ro,Nor,True,no
2.0,Lit,True,lt,Grg,False,ka
2.0,Blg,True,bg,Grg,False,ka
2.0,Bsq,False,eu,Eng,True,en
2.0,Grg,False,ka,Rom,True,ro
2.0,Grg,False,ka,Rus,True,ru
2.0,Rus,True,ru,Grg,False,ka
2.0,Trk,False,tr,Alb,True,sq
2.0,Trk,False,tr,It,True,it
2.0,Trk,False,tr,Prt,True,pt
2.0,Trk,False,tr,Spn,True,es
2.0,Grg,False,ka,Grk,True,el
2.0,Spn,True,es,Tat,False,tt
2.0,Prt,True,pt,Tat,False,tt
2.0,Spn,True,es,Arm,False,hy
2.0,Fin,False,fi,It,True,it
2.0,Dut,True,nl,Bsq,False,eu
2.0,Fin,False,fi,Prt,True,pt
2.0,Fin,False,fi,Spn,True,es
2.0,SCr,True,sr,Grg,False,ka
2.0,Spn,True,es,Fin,False,fi
