FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 1,1,1,fine_tuning 1,0.293387292788846,0.850222617987533
Feature 1,1,1,fine_tuning 2,0.2871395120468257,0.847339186525712
Feature 1,1,2,fine_tuning 1,0.1896779402178414,0.866064981949458
Feature 1,1,2,fine_tuning 2,0.2049863598470384,0.866517256835499
Feature 1,2,1,fine_tuning 1,0.271772007745954,0.8410797282803
Feature 1,2,1,fine_tuning 2,0.274898438813312,0.850417752223519
Feature 1,2,2,fine_tuning 1,0.2351116895297309,0.835862582627315
Feature 1,2,2,fine_tuning 2,0.2206811929859481,0.848608156848238
Feature 1,3,1,fine_tuning 1,0.277533341239391,0.851771511207519
Feature 1,3,1,fine_tuning 2,0.278751179666869,0.863363089815995
Feature 1,3,2,fine_tuning 1,0.2124403867856017,0.8483781278962
Feature 1,3,2,fine_tuning 2,0.2092350357480052,0.841378039793662
Feature 1,4,1,fine_tuning 1,0.2999953999969875,0.8399402302891
Feature 1,4,1,fine_tuning 2,0.288683323640725,0.852795470629865
Feature 1,4,2,fine_tuning 1,0.2304514446890714,0.84753946146703
Feature 1,4,2,fine_tuning 2,0.236640473036352,0.852172295097218
Feature 2,1,1,fine_tuning 1,0.269074708879891,0.824514400535833
Feature 2,1,1,fine_tuning 2,0.242324798787355,0.825801011804384
Feature 2,1,2,fine_tuning 1,0.4515096490632619,0.738437688398932
Feature 2,1,2,fine_tuning 2,0.436640063622582,0.765332417110462
Feature 2,2,1,fine_tuning 1,0.276791791096055,0.78564963383526
Feature 2,2,1,fine_tuning 2,0.2579324784567,0.820757880617035
Feature 2,2,2,fine_tuning 1,0.437468535942624,0.709411570792813
Feature 2,2,2,fine_tuning 2,0.4002474121824728,0.76248742876299
Feature 2,3,1,fine_tuning 1,0.2420894209225319,0.828367875647668
Feature 2,3,1,fine_tuning 2,0.262087177137265,0.803938978125756
Feature 2,3,2,fine_tuning 1,0.319046849381479,0.785177595628415
Feature 2,3,2,fine_tuning 2,0.4652279034947723,0.7489871708305
Feature 2,4,1,fine_tuning 1,0.282252640173229,0.798890429958391
Feature 2,4,1,fine_tuning 2,0.316054430007866,0.810038225029084
Feature 2,4,2,fine_tuning 1,0.3945900516204453,0.751532217989067
Feature 2,4,2,fine_tuning 2,0.4141769072039631,0.770339338081273
Feature 3,1,1,fine_tuning 1,0.291685806955844,0.851128086693906
Feature 3,1,1,fine_tuning 2,0.270695842024853,0.8564546346685
Feature 3,1,2,fine_tuning 1,0.195710848935585,0.863771897130078
Feature 3,1,2,fine_tuning 2,0.2066029794150381,0.831904103273397
Feature 3,2,1,fine_tuning 1,0.290802632942573,0.859804869473499
Feature 3,2,1,fine_tuning 2,0.2954903707183856,0.850022094564737
Feature 3,2,2,fine_tuning 1,0.2412868530501488,0.827344757693016
Feature 3,2,2,fine_tuning 2,0.206835865044387,0.832597498160412
Feature 3,3,1,fine_tuning 1,0.266894450261401,0.853323828194617
Feature 3,3,1,fine_tuning 2,0.255417707886783,0.862242152466367
Feature 3,3,2,fine_tuning 1,0.202026803026349,0.847306224993021
Feature 3,3,2,fine_tuning 2,0.1944708234090392,0.841850957071176
Feature 3,4,1,fine_tuning 1,0.2851644263051532,0.854024794831499
Feature 3,4,1,fine_tuning 2,0.28171142219178,0.84885148167631
Feature 3,4,2,fine_tuning 1,0.229168494205463,0.832112779201757
Feature 3,4,2,fine_tuning 2,0.2192677610193427,0.835984640702139
Feature 4,1,1,fine_tuning 1,0.273727661855553,0.844333303563454
Feature 4,1,1,fine_tuning 2,0.275394985068808,0.84692239072256
Feature 4,1,2,fine_tuning 1,0.312958270394387,0.79612935241088
Feature 4,1,2,fine_tuning 2,0.319887842133646,0.794799602517389
Feature 4,2,1,fine_tuning 1,0.2521577105782104,0.844413383419236
Feature 4,2,1,fine_tuning 2,0.272960434921996,0.849630671825536
Feature 4,2,2,fine_tuning 1,0.422376593273999,0.751460818058112
Feature 4,2,2,fine_tuning 2,0.3670197635536383,0.791494866197752
Feature 4,3,1,fine_tuning 1,0.2609664653325179,0.840766520580905
Feature 4,3,1,fine_tuning 2,0.273778315974649,0.851983679138814
Feature 4,3,2,fine_tuning 1,0.380631541732702,0.773687685704853
Feature 4,3,2,fine_tuning 2,0.3359271448143237,0.779297354843993
Feature 4,4,1,fine_tuning 1,0.2742680979572469,0.855027548209366
Feature 4,4,1,fine_tuning 2,0.271624319786924,0.850397786233137
Feature 4,4,2,fine_tuning 1,0.3686982990822049,0.782994090610637
Feature 4,4,2,fine_tuning 2,0.384381996269546,0.785457516339869
Feature 5,1,1,fine_tuning 1,0.3228991242966217,0.784351919487054
Feature 5,1,1,fine_tuning 2,0.307386310172767,0.794120048999591
Feature 5,1,2,fine_tuning 1,0.3891424994944827,0.738785834738617
Feature 5,1,2,fine_tuning 2,0.42702755332977,0.740953184310417
Feature 5,2,1,fine_tuning 1,0.32320011101418,0.781499465064603
Feature 5,2,1,fine_tuning 2,0.272323012471829,0.791376562368928
Feature 5,2,2,fine_tuning 1,0.508601580400649,0.656836677141245
Feature 5,2,2,fine_tuning 2,0.4013167395614265,0.75983122362869
Feature 5,3,1,fine_tuning 1,0.291875105325529,0.772328832030324
Feature 5,3,1,fine_tuning 2,0.2634445738542982,0.805657156791026
Feature 5,3,2,fine_tuning 1,0.3574719390325138,0.755732970952947
