FEATURE,EXPERIMENT,FINE_TUNING,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev
1,1,fine_tuning 1,82.2798108912624,82.0180883135307,81.3867325335215,80.279670132664,81.49107546774465,0.5945591104298511,0.7710765918051533
1,1,fine_tuning 2,82.585658777817,81.4429289303661,82.4900662251655,82.35507575070301,82.2184324210129,0.2071792960610528,0.45516952453020487
1,2,fine_tuning 1,78.8477518234696,76.2886597938144,73.94142883790329,75.1245132663225,76.05058843037745,3.2967426044371666,1.8156934224800085
1,2,fine_tuning 2,82.115259286844,82.116190129302,79.64255794470809,73.47157668930991,79.336396012541,12.48479431292551,3.533382842677186
2,1,fine_tuning 1,77.413538764137,77.1580457345371,79.1872326423165,78.47728203029058,78.0590247928203,0.6690518862628347,0.8179559195108467
2,1,fine_tuning 2,78.1032770605759,76.723699813654,79.49500783893001,76.8743400211193,77.7990811835698,1.2450734150602702,1.1158285778112471
2,2,fine_tuning 1,72.17028380634301,71.7411045983653,73.6771935672027,70.3864815124644,71.99376587109386,1.378072029430674,1.173913126867007
2,2,fine_tuning 2,71.57017909204491,72.89903885648559,71.87241778218471,74.4431219180411,72.69618941218909,1.259855004131263,1.1224326278807397
3,1,fine_tuning 1,82.192024158451,81.15307105931831,79.9233516244229,80.287437899219,80.8889711853528,0.7654898062265092,0.8749227430044948
3,1,fine_tuning 2,82.09583519928341,82.34458259325041,81.40792623459521,81.269154497926,81.77937463126375,0.20447645681381627,0.45219073057042675
3,2,fine_tuning 1,73.61732593520671,75.27018436109341,74.38282647584971,74.4569152787835,74.43181301273333,0.3423213804414164,0.5850823706465752
3,2,fine_tuning 2,79.8112693947917,79.63031423290201,78.4173322317084,77.80456146857031,78.91586933199311,0.698929299140016,0.8360199155163806
4,1,fine_tuning 1,80.5882858862991,79.4200848656294,81.0242262263988,80.1667245571378,80.29983038386628,0.3499063128822763,0.5915287929444147
4,1,fine_tuning 2,81.4814814814814,81.76423700292258,81.50807899461,81.82928957933319,81.6457717645868,0.023415849262495625,0.15302238157372805
4,2,fine_tuning 1,74.72950228420291,72.35966137914001,70.0155190721228,70.917244190786,72.00548173156292,3.1724858812712773,1.7811473496797723
4,2,fine_tuning 2,81.1995762366555,78.5810583080552,74.46808510638292,78.4376045500167,78.17158105027758,5.780769295555659,2.404323043094596
5,1,fine_tuning 1,73.30504949671399,76.3702599768173,75.26587173702859,74.1606077934809,74.77544725101019,1.3310102303142266,1.1536941667158704
5,1,fine_tuning 2,75.93305439330541,76.8939081691534,78.374118622978,76.53501493528042,76.9340240301793,0.8091575475673454,0.8995318491122731
5,2,fine_tuning 1,68.97619823932179,72.364814353351,72.78005464480871,72.01202706088,71.53327357459037,2.2534405686675067,1.501146418130992
5,2,fine_tuning 2,68.86591170195301,71.42740018037222,73.20406594345258,74.2307692307692,71.93203676413674,4.139502541201444,2.0345767474345724
6,1,fine_tuning 1,69.20086393088549,74.74603457494202,79.6416938110749,73.91655450874829,74.37628670641267,13.71439501578107,3.70329515644933
6,1,fine_tuning 2,77.07212055974159,72.039942938659,67.9635258358662,70.92651757188492,72.00052672653793,10.793372375582539,3.285326829340201
6,2,fine_tuning 1,74.62059749928409,74.5952087870466,77.93717768401311,76.650833566173,75.9509543841292,2.010702357880917,1.417992368766813
6,2,fine_tuning 2,68.9047261815453,73.32952598515129,72.5842696629213,73.55679702048408,72.09382971252549,3.519532824647869,1.876041797148419
7,1,fine_tuning 1,71.06417546709991,72.9581673306772,73.303679741205,74.07467532467528,72.85017446591435,1.226631067607141,1.1075337771856626
7,1,fine_tuning 2,75.54635761589398,73.53383458646609,75.0991340940357,73.6331849968213,74.45312782330427,0.7824704438068474,0.884573594341843
7,2,fine_tuning 1,71.94691752057778,73.88202540455801,69.5090222408728,68.77872619829279,71.02917284107534,4.089097746258022,2.022151761430883
7,2,fine_tuning 2,70.79616782292692,71.35125993573482,71.3240857503152,72.7821757936831,71.56342232566502,0.5440835909447623,0.73762022135023
8,1,fine_tuning 1,82.1506094506595,82.490842490842,81.740299008903,82.61768842558101,82.24985984399638,0.11571834668746835,0.34017399472544685
8,1,fine_tuning 2,82.96589876971339,83.74664606878599,82.5378249602942,82.99007138754409,83.06011029658443,0.1894736498977813,0.43528571065195937
8,2,fine_tuning 1,83.9034363450499,82.78753361809798,83.00528084493509,83.33598093725169,83.25805793633367,0.17696866912406173,0.42067644232124735
8,2,fine_tuning 2,85.2783315442416,83.38335176117509,82.54577436635479,84.6557481316584,83.96580145085747,1.1386215575298588,1.0670621151225728
9,1,fine_tuning 1,74.44296324509608,73.5020223873577,73.17446645612021,72.8929384965831,73.50309764628928,0.3409102867810857,0.583875232203838
9,1,fine_tuning 2,71.3151602104256,73.26091099676,72.89936256519209,76.52173913043471,73.4992932257031,3.5805897899877768,1.8922446432709954
9,2,fine_tuning 1,80.66252587991708,81.331689272503,81.2074329437484,81.19481805429399,81.09911653761561,0.06639817588367432,0.2576784350380806
9,2,fine_tuning 2,81.99566160520601,80.7143453225402,80.8816162965436,81.8898959382343,81.37037979063103,0.3325363379336259,0.5766596378572251
10,1,fine_tuning 1,77.9203576455004,74.3717756698285,73.688517881987,73.9776653008757,74.9895791245479,2.921968447743197,1.709376625481698
10,1,fine_tuning 2,79.21170796607349,76.55470568673091,74.9037334672693,75.0881219772112,76.43956727432122,2.970802685711336,1.7236016609737113
10,2,fine_tuning 1,75.9902855707227,70.95529648578369,72.16098864395451,69.2968554508299,72.1008565378227,6.07650100020944,2.4650559831795786
10,2,fine_tuning 2,75.96161869002921,70.3538707237118,74.3463369810375,74.8933265062297,73.88878822525206,4.502678975068564,2.1219516900882933
11,1,fine_tuning 1,79.6863141917531,78.912021490933,78.9394193656653,79.05990157814351,79.14941415662373,0.09918180984537973,0.31493143673723606
11,1,fine_tuning 2,78.2484210526315,80.32800602460041,79.4319131161236,79.6781024989411,79.42161067307416,0.5659551539630342,0.7522999095859537
11,2,fine_tuning 1,72.97898640296658,74.6806912096168,73.06772251092958,73.9804709936817,73.67696777929866,0.4894831811117436,0.6996307462595849
11,2,fine_tuning 2,74.73474801060999,74.64684014869879,74.53477793399999,74.37855402112099,74.57373002860743,0.017720704940150767,0.13311913814381
12,1,fine_tuning 1,75.04980079681272,74.11091768216859,75.0783440540986,75.8733803509922,75.02811072101802,0.38967941625272834,0.6242430746533985
12,1,fine_tuning 2,78.4646396774735,76.726553486072,75.2405229833072,77.79169798713771,77.0558535334976,1.4825022467751172,1.2175804888281996
12,2,fine_tuning 1,66.15647643083929,66.9583883751651,63.5282457879088,72.13500125934,67.1945279633133,9.74580356690103,3.1218269597947015
12,2,fine_tuning 2,72.300391307967,71.8622639940114,72.24527822478191,74.32295192958,72.68272136408508,0.9252598440066667,0.9619042800646366
13,1,fine_tuning 1,77.0875923887403,78.7055858199853,78.11542991754999,78.482028241335,78.09765909190264,0.38446627420851637,0.6200534446388605
13,1,fine_tuning 2,80.46032126588342,78.3290239172592,80.22661106302621,81.3031616112983,80.0797794643668,1.1820451110562782,1.0872189802685925
13,2,fine_tuning 1,78.2608695652173,75.4637505062778,75.2910313166092,75.5598831548198,76.14388363573103,1.5031560348396815,1.22603264020159
13,2,fine_tuning 2,79.6864899806076,80.63015264060071,77.65188834154351,79.9804289325613,79.48723997382828,1.2394252230542389,1.113294760184489
