FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 1,1,1,fine_tuning 1,0.3389305021529948,0.822798108912624
Feature 1,1,1,fine_tuning 2,0.330251939204839,0.82585658777817
Feature 1,1,2,fine_tuning 1,0.270912402973729,0.788477518234696
Feature 1,1,2,fine_tuning 2,0.231738106102805,0.82115259286844
Feature 1,2,1,fine_tuning 1,0.311740845506017,0.820180883135307
Feature 1,2,1,fine_tuning 2,0.3422782166496343,0.814429289303661
Feature 1,2,2,fine_tuning 1,0.286911694156622,0.762886597938144
Feature 1,2,2,fine_tuning 2,0.2403043504215448,0.82116190129302
Feature 1,3,1,fine_tuning 1,0.34789881152135,0.813867325335215
Feature 1,3,1,fine_tuning 2,0.319708164808723,0.824900662251655
Feature 1,3,2,fine_tuning 1,0.343239435682121,0.739414288379033
Feature 1,3,2,fine_tuning 2,0.26362794332689,0.796425579447081
Feature 1,4,1,fine_tuning 1,0.33509041724884,0.80279670132664
Feature 1,4,1,fine_tuning 2,0.34634899425744,0.82355075750703
Feature 1,4,2,fine_tuning 1,0.2954338195156785,0.751245132663225
Feature 1,4,2,fine_tuning 2,0.2793466352133477,0.734715766893099
Feature 2,1,1,fine_tuning 1,0.311346829267088,0.77413538764137
Feature 2,1,1,fine_tuning 2,0.3122848070360144,0.781032770605759
Feature 2,1,2,fine_tuning 1,0.43287697862594,0.72170283806343
Feature 2,1,2,fine_tuning 2,0.4338852567872142,0.715701790920449
Feature 2,2,1,fine_tuning 1,0.326990631523692,0.771580457345371
Feature 2,2,1,fine_tuning 2,0.32477310857725,0.76723699813654
Feature 2,2,2,fine_tuning 1,0.3866050200997372,0.717411045983653
Feature 2,2,2,fine_tuning 2,0.427100434015943,0.728990388564856
Feature 2,3,1,fine_tuning 1,0.28964709840896,0.791872326423165
Feature 2,3,1,fine_tuning 2,0.30115334360915,0.7949500783893
Feature 2,3,2,fine_tuning 1,0.423741915577385,0.736771935672027
Feature 2,3,2,fine_tuning 2,0.392173253551043,0.718724177821847
