FEATURE,EXPERIMENT,FINE_TUNING,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev
Feature 1,1,fine_tuning 1,85.02226179875329,84.10797282803001,85.1771511207519,83.99402302891,84.5753521941113,0.2795693032448084,0.5287431354115232
Feature 1,1,fine_tuning 2,84.7339186525712,85.04177522235192,86.3363089815995,85.2795470629865,85.34788747987727,0.36307747818962216,0.6025591076314606
Feature 1,2,fine_tuning 1,86.6064981949458,83.58625826273149,84.83781278961999,84.753946146703,84.94612884850007,1.1636852340341337,1.0787424317389827
Feature 1,2,fine_tuning 2,86.6517256835499,84.86081568482379,84.1378039793662,85.2172295097218,85.21689371436543,0.837492277963818,0.9151460418773705
Feature 10,1,fine_tuning 1,76.9392712550607,78.515204242273,77.3612945838837,78.7631668365613,77.89473422944468,0.5841563951993588,0.7643012463677911
Feature 10,1,fine_tuning 2,78.89050153201089,81.38293364969,79.57891273953399,79.209067593282,79.76535387862923,0.9315364184352981,0.9651613432143343
Feature 10,2,fine_tuning 1,72.98681669325698,65.9833440102498,70.5872622001654,73.6886207474442,70.8115109127791,9.092799840773873,3.0154269748700386
Feature 10,2,fine_tuning 2,75.2125354225704,75.30711517849781,71.5207678305477,76.2812872467222,74.58042641958453,3.295519144686253,1.8153564786802214
Feature 11,1,fine_tuning 1,84.17468289776109,84.0990606319385,83.4217394965058,83.41064350172891,83.77653163198357,0.130575242377574,0.36135196467927777
Feature 11,1,fine_tuning 2,84.08454290807231,83.9883800410116,83.43413978494621,84.3303380402225,83.95935019356315,0.10749847587439124,0.3278696019370982
Feature 11,2,fine_tuning 1,79.5335942596216,79.28741482636892,77.6566530748106,77.3948887056883,78.46813771662235,0.9041958477354586,0.9508921325447269
Feature 11,2,fine_tuning 2,79.74060088655392,78.1316696765719,77.6770113986188,78.155981493721,78.4263158638664,0.6121748374674546,0.7824160258247875
Feature 12,1,fine_tuning 1,79.7842323651452,77.7685676392572,77.97021689867269,78.83756798441429,78.59014622187235,0.6365907448275755,0.7978663702823773
Feature 12,1,fine_tuning 2,79.411022297013,78.32499788081708,81.691550588039,79.65550861228398,79.77076984453826,1.4805896713241595,1.2167948353457783
Feature 12,2,fine_tuning 1,74.8119983100971,73.75580623755799,67.0576573599867,68.09175367919089,70.92930389670818,11.526442383207693,3.3950614697244723
Feature 12,2,fine_tuning 2,76.4427145033,71.8175128771155,74.2545578463111,75.29352566252929,74.45207772231397,2.912653863719704,1.7066498948875555
Feature 13,1,fine_tuning 1,82.0196264640708,80.33149171270709,81.95319182023171,81.5212245542054,81.45638363780375,0.4584117597640338,0.6770611196664846
Feature 13,1,fine_tuning 2,85.3714739769566,84.3984063745019,85.65867331049509,83.3189010469967,84.68686367723757,0.8419086497526354,0.9175558019829831
