language;Language abbreviation;wikiann dataset;no of lines
Udmurt;Udm;udm;7307,00
Sardinian;Srd;sc;9924,00
Maltese;Mlt;mt;17733,00
Komi;Kom;kv;23061,00
Scots Gaelic;Gae;gd;48063,00
Irish;Ir;ga;69973,00
Icelandic;Ice;is;84944,00
Breton;Brt;br;149477,00
Armenian;Arm;hy;183837,00
Albanian;Alb;sq;199242,00
Welsh;Wel;cy;252458,00
Georgian;Grg;ka;341823,00
Latvian;Ltv;lv;373321,00
Tatar;Tat;tt;400046,00
Estonian;Est;et;439115,00
Slovenian;Sln;sl;454776,00
Lithunian;Lit;lt;515959,00
Greek;Grk;el;635289,00
Basque;Bsq;eu;858935,00
Romanian;Rom;ro;1120983,00
Bulgarian;Blg;bg;1151684,00
Portuguese;Prt;pt;1276495,00
Turkish;Trk;tr;1424785,00
Finnish;Fin;fi;2218106,00
Serbian/Croatian;SCr;sr/ hr;2292803,00
Norwegian;Nor;no;2355365,00
Hungarian;Hng;hu;2524593,00
Czech;Cz;cs;2557415,00
Ukrainian;Ukr;uk;2970571,00
Dutch;Dut;nl;5610759,00
Italian;It;it;5614655,00
Polish;Pol;pl;5998022,00
Spanish;Spn;es;6060789,00
French;Fr;fr;8617738,00
Russian;Rus;ru;8858829,00
German;Grm;de;14134961,00
Swedish;Swd;sv;15506369,00
English;Eng;en;65812076,00
