DIST,LAN_1,lan1_MembES,lan1_Wiki,LAN_2,lan2_MembES,lan2_Wiki
0.0,Fr,True,fr,Fr,True,fr
0.0,Cz,True,cs,Cz,True,cs
0.0,Hng,True,hu,Hng,True,hu
0.0,Swd,True,sv,Swd,True,sv
0.0,Swd,True,sv,Nor,True,no
0.0,Nor,True,no,Swd,True,sv
0.0,Nor,True,no,Nor,True,no
0.0,Rus,True,ru,Rus,True,ru
0.0,Rom,True,ro,Rom,True,ro
0.0,Alb,True,sq,Alb,True,sq
0.0,It,True,it,It,True,it
0.0,It,True,it,Prt,True,pt
0.0,It,True,it,Spn,True,es
0.0,Prt,True,pt,It,True,it
0.0,Prt,True,pt,Prt,True,pt
0.0,Prt,True,pt,Spn,True,es
0.0,Spn,True,es,It,True,it
0.0,Spn,True,es,Prt,True,pt
0.0,Spn,True,es,Spn,True,es
0.0,Grk,True,el,Grk,True,el
0.0,Lit,True,lt,Lit,True,lt
0.0,SCr,True,sr,SCr,True,sr
0.0,SCr,True,sr,Blg,True,bg
0.0,Blg,True,bg,SCr,True,sr
0.0,Trk,False,tr,Trk,False,tr
0.0,Arm,False,hy,Arm,False,hy
0.0,Arm,False,hy,Est,False,et
0.0,Est,False,et,Arm,False,hy
0.0,Est,False,et,Est,False,et
0.0,Wel,False,cy,Wel,False,cy
0.0,Grg,False,ka,Grg,False,ka
0.0,Fin,False,fi,Fin,False,fi
0.0,Brt,False,br,Brt,False,br
0.0,Eng,True,en,Eng,True,en
0.0,Bsq,False,eu,Bsq,False,eu
0.0,Ukr,True,uk,Sln,True,sl
0.0,Ukr,True,uk,Pol,True,pl
0.0,Sln,True,sl,Ukr,True,uk
0.0,Sln,True,sl,Sln,True,sl
0.0,Sln,True,sl,Pol,True,pl
0.0,Pol,True,pl,Ukr,True,uk
0.0,Pol,True,pl,Sln,True,sl
0.0,Pol,True,pl,Pol,True,pl
0.0,Blg,True,bg,Blg,True,bg
0.0,Ukr,True,uk,Ukr,True,uk
0.0,Dut,True,nl,Dut,True,nl
0.0,Ltv,True,lv,Ltv,True,lv
0.0,Tat,False,tt,Tat,False,tt
0.0,Grm,True,de,Grm,True,de
1.0,Wel,False,cy,Tat,False,tt
1.0,Grg,False,ka,Arm,False,hy
1.0,Grg,False,ka,Est,False,et
1.0,Ltv,True,lv,Pol,True,pl
1.0,Ukr,True,uk,Blg,True,bg
1.0,Ukr,True,uk,SCr,True,sr
1.0,Pol,True,pl,Blg,True,bg
1.0,Ukr,True,uk,Lit,True,lt
1.0,Ukr,True,uk,Ltv,True,lv
1.0,Sln,True,sl,Blg,True,bg
1.0,Grm,True,de,Fr,True,fr
1.0,Sln,True,sl,SCr,True,sr
1.0,Sln,True,sl,Lit,True,lt
1.0,Sln,True,sl,Ltv,True,lv
1.0,Est,False,et,Grg,False,ka
1.0,Est,False,et,Tat,False,tt
1.0,Pol,True,pl,SCr,True,sr
1.0,Pol,True,pl,Ltv,True,lv
1.0,Tat,False,tt,Trk,False,tr
1.0,Ltv,True,lv,Ukr,True,uk
1.0,Lit,True,lt,Pol,True,pl
1.0,Cz,True,cs,Blg,True,bg
1.0,Cz,True,cs,SCr,True,sr
1.0,Lit,True,lt,Sln,True,sl
1.0,Lit,True,lt,Ukr,True,uk
1.0,SCr,True,sr,Cz,True,cs
1.0,SCr,True,sr,Pol,True,pl
1.0,SCr,True,sr,Sln,True,sl
1.0,SCr,True,sr,Ukr,True,uk
1.0,Blg,True,bg,Cz,True,cs
1.0,Blg,True,bg,Pol,True,pl
1.0,Blg,True,bg,Sln,True,sl
1.0,Blg,True,bg,Ukr,True,uk
1.0,Pol,True,pl,Lit,True,lt
1.0,Arm,False,hy,Grg,False,ka
1.0,Ltv,True,lv,Sln,True,sl
1.0,Trk,False,tr,Tat,False,tt
1.0,Arm,False,hy,Tat,False,tt
1.0,Fr,True,fr,Grm,True,de
1.0,Tat,False,tt,Arm,False,hy
1.0,Tat,False,tt,Est,False,et
1.0,Tat,False,tt,Wel,False,cy
1.4142135623730951,Arm,False,hy,Fin,False,fi
1.4142135623730951,Nor,True,no,Prt,True,pt
1.4142135623730951,Spn,True,es,Cz,True,cs
1.4142135623730951,Nor,True,no,It,True,it
1.4142135623730951,Spn,True,es,Swd,True,sv
1.4142135623730951,Spn,True,es,Nor,True,no
1.4142135623730951,Fin,False,fi,Est,False,et
1.4142135623730951,Dut,True,nl,Eng,True,en
1.4142135623730951,Spn,True,es,Alb,True,sq
1.4142135623730951,Fin,False,fi,Arm,False,hy
1.4142135623730951,Spn,True,es,Grm,True,de
1.4142135623730951,It,True,it,Nor,True,no
1.4142135623730951,Trk,False,tr,Est,False,et
1.4142135623730951,Trk,False,tr,Arm,False,hy
1.4142135623730951,Blg,True,bg,Lit,True,lt
1.4142135623730951,Swd,True,sv,Spn,True,es
1.4142135623730951,Swd,True,sv,Prt,True,pt
1.4142135623730951,Swd,True,sv,It,True,it
1.4142135623730951,Blg,True,bg,Ltv,True,lv
1.4142135623730951,Pol,True,pl,Cz,True,cs
1.4142135623730951,Nor,True,no,Spn,True,es
1.4142135623730951,Rus,True,ru,Ltv,True,lv
1.4142135623730951,SCr,True,sr,Lit,True,lt
1.4142135623730951,It,True,it,Cz,True,cs
1.4142135623730951,It,True,it,Alb,True,sq
1.4142135623730951,Grm,True,de,Spn,True,es
1.4142135623730951,It,True,it,Grm,True,de
1.4142135623730951,Alb,True,sq,Spn,True,es
1.4142135623730951,Alb,True,sq,Prt,True,pt
1.4142135623730951,Alb,True,sq,It,True,it
1.4142135623730951,Rom,True,ro,Grk,True,el
1.4142135623730951,Arm,False,hy,Wel,False,cy
1.4142135623730951,Brt,False,br,Trk,False,tr
1.4142135623730951,Rus,True,ru,Lit,True,lt
1.4142135623730951,Trk,False,tr,Brt,False,br
1.4142135623730951,Prt,True,pt,Swd,True,sv
1.4142135623730951,Prt,True,pt,Nor,True,no
1.4142135623730951,Ukr,True,uk,Cz,True,cs
1.4142135623730951,Prt,True,pt,Alb,True,sq
1.4142135623730951,Grm,True,de,Prt,True,pt
1.4142135623730951,Grm,True,de,It,True,it
1.4142135623730951,Rom,True,ro,Lit,True,lt
1.4142135623730951,Prt,True,pt,Grm,True,de
1.4142135623730951,Trk,False,tr,Wel,False,cy
1.4142135623730951,Sln,True,sl,Cz,True,cs
1.4142135623730951,Prt,True,pt,Cz,True,cs
1.4142135623730951,SCr,True,sr,Ltv,True,lv
1.4142135623730951,Dut,True,nl,Fr,True,fr
1.4142135623730951,Lit,True,lt,SCr,True,sr
1.4142135623730951,Wel,False,cy,Trk,False,tr
1.4142135623730951,Arm,False,hy,Trk,False,tr
1.4142135623730951,Tat,False,tt,Grg,False,ka
