,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
0,4,4,0.0,Swd,Nor,76.66765490661129,73.392660733926,73.91748366013069,74.97565725413821,74.73836413870154,1.5658083258746622,1.2513226306091736,12
1,5,5,0.0,Nor,Swd,85.46780322481249,84.6509756588211,86.2776339374626,79.1919984310649,83.89710281304028,7.710089932693579,2.776704869569969,12
2,11,11,0.0,It,Prt,78.2336578581363,79.6328569768792,76.172910662824,70.0,76.00985637445987,13.554096686630537,3.6815888807185595,12
3,12,12,0.0,It,Spn,78.2964782964782,79.95327102803729,80.19732205778709,81.133850858621,79.8952305602309,1.046204253309325,1.0228412649621275,12
4,13,13,0.0,Prt,It,80.2047781569965,80.1579056721379,80.38138667219398,80.806807437756,80.3877194847711,0.06548918368428959,0.255908545547603,12
5,15,15,0.0,Prt,Spn,84.34688736955731,83.2066508313539,81.78262415550552,84.1096874625793,83.361462454749,1.011899984740975,1.0059323957110513,12
6,16,16,0.0,Spn,It,82.091951559318,79.92526468756479,82.03630294179008,79.8249270529387,80.96961156040291,1.1996101471814349,1.0952671579032374,12
7,17,17,0.0,Spn,Prt,81.30004710315592,80.83648393194699,79.45109896499591,81.517464723571,80.77627368091746,0.6458540154000072,0.803650431095515,12
8,22,22,0.0,SCr,Blg,76.5077645359335,75.25676937441641,73.9055957365816,68.9365671641791,73.65167420277766,8.257573257983838,2.8735993558573605,12
10,26,26,0.0,Arm,Est,50.255874673629194,51.242168934975105,45.24251805985552,54.9285490768749,50.41727768633368,11.95905081388485,3.4581860583093054,12
11,27,27,0.0,Est,Arm,42.74406332453825,41.77997527812113,44.7097765693344,46.161048689138504,43.84871596528307,2.8970633692714234,1.7020761937326494,12
12,35,35,0.0,Ukr,Sln,74.05004633920291,71.0745638404267,74.9444639307845,70.62259081882951,72.6729162323109,3.4537452368896604,1.8584254725142089,12
13,36,36,0.0,Ukr,Pol,72.9623500206868,72.1913353613762,75.3138902619871,74.8374187093546,73.82624858835118,1.6637011894246578,1.289845412995161,12
14,37,37,0.0,Sln,Ukr,62.8433928213354,66.1984370363042,64.1439688715953,62.322505349153786,63.87707601959717,2.2362849220265657,1.4954213192363435,12
15,39,39,0.0,Sln,Pol,76.63800163800161,75.52303411316079,76.90035447026379,74.39048176321428,75.86296799616011,0.9901546484163402,0.9950651478251764,12
16,40,40,0.0,Pol,Ukr,60.353679406731295,60.381657647393894,58.353074954989005,59.408013705148896,59.624106428565774,0.6920944128884338,0.8319221194850115,12
17,41,41,0.0,Pol,Sln,79.81454257604878,78.67614393602841,78.8435061955025,77.3883161512027,78.68062721469559,0.7455953984287901,0.8634786612469297,12
19,50,50,1.0,Grg,Arm,44.559944559944505,50.4246542101431,45.84309786854145,49.1575350536114,47.496307923060115,5.6725552102404,2.381712663240551,11
20,51,51,1.0,Grg,Est,63.05459860110649,66.8871434477056,65.47175511026079,64.9280200292092,65.08537929707052,1.8861181244535448,1.373360158317382,11
21,52,52,1.0,Ltv,Pol,73.14195831694799,72.5076142131979,75.390625,72.940475007453,73.49516813439972,1.2501152792146362,1.1180855419933826,11
22,53,53,1.0,Ukr,Blg,81.64223975948892,84.90358126721759,83.470441936101,84.2499765764077,83.56655988480381,1.4917327890373075,1.2213651333803939,11
23,54,54,1.0,Ukr,SCr,51.44225014961099,46.237043713384004,42.3398328690807,51.6113855563396,47.907628072103826,15.000642063810051,3.873066235401875,11
24,55,55,1.0,Pol,Blg,83.8996687174633,82.4151363383416,81.729667812142,82.704955998147,82.68735721652348,0.6153205235520662,0.784423688800935,11
25,56,56,1.0,Ukr,Lit,73.63394047090178,68.38029683802961,73.85606397156799,76.78767876787671,73.16449501209402,9.178664840347992,3.0296311393217477,11
26,57,57,1.0,Ukr,Ltv,58.258064516129004,63.5894125242091,65.7332030826006,64.3404069131481,62.980271759021704,8.02472305661841,2.8327942136022535,11
27,58,58,1.0,Sln,Blg,81.0128880014521,79.64765878534999,81.0971758549129,78.82562277580071,80.14583635437893,0.9119925468286051,0.9549830086596333,11
28,59,59,1.0,Grm,Fr,70.9037638043723,71.667577911427,69.54468802698139,68.71666855781228,70.20817457514823,1.3196267682754592,1.1487500895649407,11
29,60,60,1.0,Sln,SCr,21.7865847197202,21.65864098448368,21.408450704225302,23.625510524662197,22.119796733272842,0.7742205163097271,0.8798980147208693,11
30,61,61,1.0,Sln,Lit,69.8590336812654,73.5954440915562,73.689932594042,71.60493827160491,72.18733715961713,2.500185930847995,1.5811976254877171,11
31,62,62,1.0,Sln,Ltv,64.1521882559929,64.3658510524628,66.3276347111014,65.2620205294435,65.02692363725015,0.7373246989847334,0.8586761316030238,11
32,63,63,1.0,Est,Grg,70.7946570070183,71.43518518518509,69.70571263704551,70.8591065292096,70.69866533961462,0.39084308199701107,0.625174441253808,11
35,66,66,1.0,Pol,Ltv,63.872340425531895,63.3561643835616,65.3926414058209,66.44439664443959,64.76638571483849,1.4989895132170723,1.2243322723905763,11
36,67,67,1.0,Tat,Trk,57.9278032158449,61.258770997235004,60.6284658040665,59.71860343929129,59.88341086410942,1.574571280142889,1.2548192220965095,11
37,68,68,1.0,Ltv,Ukr,60.914097980481195,59.05612244897951,60.713233127026214,64.594330400782,61.31944598931723,4.094825599844057,2.0235675426938577,11
38,69,69,1.0,Lit,Pol,76.43364562956859,75.85230146686891,75.453812020976,76.27566578572879,76.00385622578557,0.1460292101688915,0.3821376848321708,11
39,70,70,1.0,Cz,Blg,80.6883365200764,81.552326650726,80.54248546913921,81.4754981152396,81.0646616887953,0.20522308034350742,0.4530155409514197,11
41,72,72,1.0,Lit,Sln,75.4416754416754,77.17528373266072,75.3887524845083,77.1181419599478,76.28096340469806,0.7502803483394664,0.8661872478508711,11
42,73,73,1.0,Lit,Ukr,62.585969738651904,68.32476875642341,66.75791943684001,66.1518913107223,65.95513731065941,4.412403648919083,2.100572219400962,11
43,74,74,1.0,SCr,Cz,69.87501230193871,68.25553797468349,66.26913138541039,63.830215248440894,67.05747422761837,5.102640624454674,2.258902526550155,11
44,75,75,1.0,SCr,Pol,66.0723130262506,63.9804141589309,67.5034053317766,65.1213472015849,65.66936992963575,1.6697373753182627,1.2921831817967075,11
