,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
0,4,4,0.0,Swd,Nor,77.55142017629771,79.30239550967221,77.34567901234558,77.8719672610347,78.01786548983755,0.5851773890176436,0.7649688810779453,12
1,5,5,0.0,Nor,Swd,74.200234297557,82.1095037538912,81.3144079331129,77.8097429996164,78.85847224604439,9.849959945267704,3.1384645840390974,12
2,11,11,0.0,It,Prt,79.2070183433975,80.3914874246045,81.51528982199899,82.32208029197,80.85896897049274,1.3797329173158113,1.1746203290067014,12
3,12,12,0.0,It,Spn,81.58937310650191,82.44436594842809,82.8685258964143,81.298193117735,82.05011451726982,0.4007249537895796,0.6330283988807924,12
4,13,13,0.0,Prt,It,84.84913331906692,82.693700217233,86.06908066367521,84.5796366708914,84.54788771771663,1.4609490435361148,1.2086972505702638,12
5,15,15,0.0,Prt,Spn,87.8977820636451,86.60064431452092,86.4806866952789,87.82463664522271,87.20093742966691,0.4384265249668124,0.6621378443849985,12
6,16,16,0.0,Spn,It,88.2175876155665,85.05192489247871,85.61506892560242,85.59670781893,86.1203223131444,1.5173619803507052,1.2318124777541042,12
7,17,17,0.0,Spn,Prt,84.95785349637892,84.67256637168141,84.3819566490919,83.92275476966032,84.48378282170313,0.14637581948439116,0.3825909296943554,12
8,22,22,0.0,SCr,Blg,77.65635044540359,78.0255668563963,75.8419877705522,76.74548501210201,77.06734752111352,0.7175526830837293,0.8470848145750987,12
10,26,26,0.0,Arm,Est,67.6382511479337,64.89766532963071,65.81800099453001,68.5725913114253,66.73162719587992,2.102311206953185,1.4499348974878785,12
11,27,27,0.0,Est,Arm,44.06974076623078,47.4455162558056,36.61913618516222,46.42311758487019,43.6393776980172,17.926225437008615,4.233937344483101,12
12,35,35,0.0,Ukr,Sln,79.93560998045301,83.47256717091891,81.6155988857938,79.2644847924135,81.0720652073948,2.654178993976084,1.6291651217651586,12
13,36,36,0.0,Ukr,Pol,83.56914179489821,81.6157431382703,83.039537894632,81.28405825819871,82.37712027149982,0.9085480309019478,0.9531778590074088,12
14,37,37,0.0,Sln,Ukr,65.9531630814877,65.74016882849489,64.4788817988453,63.76811594202889,64.98508241271419,0.811145532200747,0.9006361819296108,12
15,39,39,0.0,Sln,Pol,82.34082011127131,82.962656460122,83.240058910162,81.97395476353661,82.62937256127299,0.2492127449857432,0.4992121242375261,12
16,40,40,0.0,Pol,Ukr,65.062,68.2313660021604,63.9335755059678,62.29379418695991,64.88018392377202,4.712239443857808,2.170769320738113,12
17,41,41,0.0,Pol,Sln,83.58717890429641,81.4110361605661,81.81297928350692,83.1502255117381,82.49035496502688,0.8155546969372429,0.903080670226776,12
19,50,50,1.0,Grg,Arm,51.50367037650949,49.0458015267175,51.2709312131068,51.499880009599195,50.83007078148324,1.0700888775406074,1.034451002967568,11
20,51,51,1.0,Grg,Est,73.06533707281599,76.5869317593455,75.2964824120603,77.67812153582578,75.65671819501189,2.949098670328955,1.7172939964749643,11
21,52,52,1.0,Ltv,Pol,77.659043243783,77.4635308127418,76.30331753554499,74.01206930114851,76.35949022330458,2.105321008196409,1.4509724353675395,11
22,53,53,1.0,Ukr,Blg,86.44864117918002,87.1732179800639,86.809302325581,82.77467411545621,85.80145890007027,3.1194355946637615,1.7661924002394986,11
24,55,55,1.0,Pol,Blg,84.8258474180595,84.60889929742379,84.7590017146123,84.0497530638375,84.56087537348327,0.09325413603608804,0.3053754018189547,11
25,56,56,1.0,Ukr,Lit,74.6699212248973,76.9130150425114,77.29136650781328,79.31111608141352,77.04635471415887,2.713597606639472,1.647300096108621,11
26,57,57,1.0,Ukr,Ltv,64.5931984502798,67.25451774439361,65.73275862068961,67.0237840154274,66.1510647076976,1.1452937131767247,1.0701839623058853,11
27,58,58,1.0,Sln,Blg,82.056994337696,80.1929678077743,82.21932601005,80.4098514758413,81.21978490784039,0.8525868914258817,0.9233563187772539,11
28,59,59,1.0,Grm,Fr,74.3864346273984,77.05715902659871,75.24619516562221,71.98679141441929,74.66914505850966,3.3276359494327603,1.8241808982205576,11
29,60,60,1.0,Sln,SCr,24.56177402323125,22.50051324163416,22.631634041662302,23.76917301297865,23.365773579876592,0.720196119409126,0.848643694025429,11
30,61,61,1.0,Sln,Lit,75.5862371246986,78.1086204973792,77.08217502501941,77.345438824038,77.0306178677838,0.8375239438422487,0.9151633427111516,11
31,62,62,1.0,Sln,Ltv,65.99722251896159,66.53792511533089,65.75342465753421,68.69118905047038,66.74494033557427,1.343231158681615,1.1589784979375652,11
32,63,63,1.0,Est,Grg,67.321054373,70.9947183098591,67.7786369159394,69.6823869104908,68.94419912732232,2.185671070814602,1.478401525572333,11
33,64,64,1.0,Est,Tat,82.6553970769501,80.3008336353751,71.21896162528209,70.52935514918191,76.1761368716973,28.86341661126804,5.372468390904505,11
35,66,66,1.0,Pol,Ltv,68.2827851345578,67.2220442165972,66.5024102838778,66.88379911746159,67.2227596881236,0.4393629979120822,0.6628446257699327,11
36,67,67,1.0,Tat,Trk,71.1345760155155,68.1867772201614,65.327072185213,68.5505319148936,68.29973933394588,4.237176586534362,2.058440328630967,11
37,68,68,1.0,Ltv,Ukr,62.626262626262594,61.9120811558561,61.3859480269489,60.8377389182594,61.69050768183175,0.4361758169812676,0.6604360809202262,11
38,69,69,1.0,Lit,Pol,79.87318470034771,80.0163549013595,80.8876449420231,83.54181030237359,81.07974871152598,2.1713135609888146,1.4735377704656283,11
39,70,70,1.0,Cz,Blg,82.0470415288496,84.545115585384,82.357322409459,82.3825034899953,82.83299575342198,0.9945716929212555,0.997282153114782,11
41,72,72,1.0,Lit,Sln,80.6520198440822,79.89282385834102,80.443407234539,77.4347930126824,79.60576098741116,1.6479539674135775,1.2837265937159585,11
42,73,73,1.0,Lit,Ukr,64.96720964671,66.39072847682111,66.4815957228048,68.8011311988687,66.66016626130116,1.888579279926485,1.3742559004517627,11
43,74,74,1.0,SCr,Cz,70.1843740450239,73.228903486609,73.79150267433641,72.0568816658202,72.31541546794737,1.9053677685404438,1.380350596240116,11
44,75,75,1.0,SCr,Pol,72.4896974570308,71.7060367454068,72.8467858869018,70.516898608349,71.8898546744221,0.7985815249150054,0.893633887514907,11
45,76,76,1.0,SCr,Sln,72.7650248010151,71.1564938044974,70.2127659574468,74.0473138328866,72.04539959896148,2.1685551517164683,1.4726014911429597,11
46,77,77,1.0,SCr,Ukr,56.8307086614173,54.617676266136996,53.904378652869,56.03097773475311,55.3459353287941,1.320570464869383,1.1491607654585945,11
47,78,78,1.0,Blg,Cz,80.0982298168423,77.8945199835187,79.74763406940059,79.39905330314801,79.28485929322741,0.7054539425426822,0.8399130565378075,11
48,79,79,1.0,Blg,Pol,81.2883435582822,79.74296850310749,80.83874188716919,82.15892053973009,81.00724362207224,0.7580403269754483,0.8706551136790321,11
49,80,80,1.0,Blg,Sln,77.0844960375041,80.67661224010328,80.2693761814744,80.2688996343908,79.57484602336814,2.0949536009811554,1.447395454249168,11
50,81,81,1.0,Blg,Ukr,63.588709677419295,64.5841952834091,65.8597083043952,64.80523284194079,64.70946152679109,0.6510040334488679,0.8068482096707335,11
51,82,82,1.0,Pol,Lit,80.5360281195079,78.152364273204,82.06533654900241,78.41218053289829,79.79147736865315,2.578485723363312,1.605766397507219,11
52,83,83,1.0,Arm,Grg,64.6933512725641,62.36607142857139,64.41041019599439,65.2015461071231,64.16784475106324,1.1624801745944717,1.0781837387915252,11
53,84,84,1.0,Ltv,Sln,78.2859117613178,76.88838782412621,77.473042662916,78.7495690150557,77.84922781585394,0.5165089755500573,0.7186855888008729,11
54,85,85,1.0,Trk,Tat,65.6682027649769,65.5549274543056,50.241815476190396,66.37387817452729,61.95970596750004,45.86810996892532,6.772599941597416,11
